"","Fungi","Relative_Abundance","Sampletime","Direction","Distance"
"462","Other",2482,"TP1011","C",4
"463","Other",112,"TP0913","A",8
"464","Other",140,"TP1011","A",8
"465","Other",18,"TP0913","B",8
"466","Other",118,"TP1011","B",8
"467","Other",9,"TP0913","C",8
"468","Other",113,"TP1011","C",8
"469","Other",0,"TP0913","P",0
"470","Other",0,"TP1011","P",0
"471","Other",1,"TP0913","A",1
"472","Other",0,"TP1011","A",1
"473","Other",0,"TP0913","B",1
"474","Other",1,"TP1011","B",1
"475","Other",0,"TP0913","C",1
"476","Other",1,"TP1011","C",1
"477","Other",0,"TP0913","A",2
"478","Other",0,"TP1011","A",2
"479","Other",0,"TP0913","B",2
"480","Other",0,"TP1011","B",2
"481","Other",0,"TP0913","C",2
"482","Other",0,"TP1011","C",2
"483","Other",0,"TP0913","A",4
"484","Other",0,"TP1011","A",4
"485","Other",0,"TP0913","B",4
"486","Other",0,"TP1011","B",4
"487","Other",0,"TP0913","C",4
"488","Other",1,"TP1011","C",4
"489","Other",1,"TP0913","A",8
"490","Other",2,"TP1011","A",8
"491","Other",0,"TP0913","B",8
"492","Other",0,"TP1011","B",8
"493","Other",0,"TP0913","C",8
"494","Other",0,"TP1011","C",8
"495","Other",37,"TP0913","P",0
"496","Other",82,"TP1011","P",0
"497","Other",106,"TP0913","A",1
"498","Other",151,"TP1011","A",1
"499","Other",44,"TP0913","B",1
"500","Other",417,"TP1011","B",1
"501","Other",230,"TP0913","C",1
"502","Other",323,"TP1011","C",1
"503","Other",46,"TP0913","A",2
"504","Other",322,"TP1011","A",2
"505","Other",81,"TP0913","B",2
"506","Other",259,"TP1011","B",2
"507","Other",51,"TP0913","C",2
"508","Other",427,"TP1011","C",2
"509","Other",81,"TP0913","A",4
"510","Other",149,"TP1011","A",4
"511","Other",71,"TP0913","B",4
"512","Other",235,"TP1011","B",4
"513","Other",111,"TP0913","C",4
"514","Other",749,"TP1011","C",4
"515","Other",241,"TP0913","A",8
"516","Other",78,"TP1011","A",8
"517","Other",56,"TP0913","B",8
"518","Other",93,"TP1011","B",8
"519","Other",28,"TP0913","C",8
"520","Other",64,"TP1011","C",8
"521","Other",4,"TP0913","P",0
"522","Other",10,"TP1011","P",0
"523","Other",8,"TP0913","A",1
"524","Other",1,"TP1011","A",1
"525","Other",19,"TP0913","B",1
"526","Other",40,"TP1011","B",1
"527","Other",8,"TP0913","C",1
"528","Other",1,"TP1011","C",1
"529","Other",4,"TP0913","A",2
"530","Other",2,"TP1011","A",2
"531","Other",25,"TP0913","B",2
"532","Other",4,"TP1011","B",2
"533","Other",6,"TP0913","C",2
"534","Other",2,"TP1011","C",2
"535","Other",87,"TP0913","A",4
"536","Other",18,"TP1011","A",4
"537","Other",48,"TP0913","B",4
"538","Other",9,"TP1011","B",4
"539","Other",2,"TP0913","C",4
"540","Other",15,"TP1011","C",4
"541","Other",5,"TP0913","A",8
"542","Other",4,"TP1011","A",8
"543","Other",46,"TP0913","B",8
"544","Other",30,"TP1011","B",8
"545","Other",4,"TP0913","C",8
"546","Other",4,"TP1011","C",8
"547","Other",3,"TP0913","P",0
"548","Other",16,"TP1011","P",0
"549","Other",5,"TP0913","A",1
"550","Other",1,"TP1011","A",1
"551","Other",1,"TP0913","B",1
"552","Other",17,"TP1011","B",1
"553","Other",0,"TP0913","C",1
"554","Other",0,"TP1011","C",1
"555","Other",0,"TP0913","A",2
"556","Other",1,"TP1011","A",2
"557","Other",3,"TP0913","B",2
"558","Other",30,"TP1011","B",2
"559","Other",0,"TP0913","C",2
"560","Other",7,"TP1011","C",2
"561","Other",8,"TP0913","A",4
"562","Other",4,"TP1011","A",4
"563","Other",3,"TP0913","B",4
"564","Other",2,"TP1011","B",4
