"","Fungi","Relative_Abundance","Habitat","TP","Treatment","Cultivar"
"313","Ascomycota",0.985504459691282,"Root",10,"PRE","RTx430"
"314","Ascomycota",0.801419767919913,"Soil",10,"PRE","RTx430"
"315","Ascomycota",0.697699667748611,"Leaf",11,"PRE","RTx430"
"316","Ascomycota",0.923025562113192,"Rhizosphere",11,"PRE","RTx430"
"317","Ascomycota",0.98860724069609,"Root",11,"PRE","RTx430"
"318","Ascomycota",0.707357260754518,"Soil",11,"PRE","RTx430"
"319","Ascomycota",0.655389659594223,"Leaf",12,"PRE","RTx430"
"320","Ascomycota",0.953293633419971,"Rhizosphere",12,"PRE","RTx430"
"321","Ascomycota",0.983402536912504,"Root",12,"PRE","RTx430"
"322","Ascomycota",0.877056932834982,"Soil",12,"PRE","RTx430"
"323","Ascomycota",0.701767627889549,"Leaf",13,"PRE","RTx430"
"324","Ascomycota",0.926609239422875,"Rhizosphere",13,"PRE","RTx430"
"325","Ascomycota",0.963538288445927,"Root",13,"PRE","RTx430"
"326","Ascomycota",0.855441059021705,"Soil",13,"PRE","RTx430"
"327","Ascomycota",0.703427161829519,"Leaf",14,"PRE","RTx430"
"328","Ascomycota",0.926761070453884,"Rhizosphere",14,"PRE","RTx430"
"329","Ascomycota",0.97477195666248,"Root",14,"PRE","RTx430"
"330","Ascomycota",0.799100431336662,"Soil",14,"PRE","RTx430"
"331","Ascomycota",0.700527608892185,"Leaf",15,"PRE","RTx430"
"332","Ascomycota",0.908763764611021,"Rhizosphere",15,"PRE","RTx430"
"333","Ascomycota",0.95530864742009,"Root",15,"PRE","RTx430"
"334","Ascomycota",0.761445775544087,"Soil",15,"PRE","RTx430"
"335","Ascomycota",0.709264330037022,"Leaf",16,"PRE","RTx430"
"336","Ascomycota",0.908320781503002,"Rhizosphere",16,"PRE","RTx430"
"337","Ascomycota",0.942200644570034,"Root",16,"PRE","RTx430"
"338","Ascomycota",0.830709467220016,"Soil",16,"PRE","RTx430"
"339","Ascomycota",0.853844240663958,"Leaf",17,"PRE","RTx430"
"340","Ascomycota",0.908734350833803,"Rhizosphere",17,"PRE","RTx430"
"341","Ascomycota",0.897141401298536,"Root",17,"PRE","RTx430"
"342","Ascomycota",0.889473162689054,"Soil",17,"PRE","RTx430"
"343","Basidiomycota",0.04772379953726,"Soil",0,"CON","BTx642"
"344","Basidiomycota",0.0379485642577808,"Leaf",1,"CON","BTx642"
"345","Basidiomycota",0.108784621937074,"Rhizosphere",1,"CON","BTx642"
"346","Basidiomycota",0.0365420738883754,"Root",1,"CON","BTx642"
"347","Basidiomycota",0.0650636253203347,"Soil",1,"CON","BTx642"
"348","Basidiomycota",0.0781983381674629,"Leaf",2,"CON","BTx642"
"349","Basidiomycota",0.235869435353795,"Rhizosphere",2,"CON","BTx642"
"350","Basidiomycota",0.105672846727567,"Root",2,"CON","BTx642"
"351","Basidiomycota",0.103108159969719,"Soil",2,"CON","BTx642"
"352","Basidiomycota",0.0920266775751186,"Leaf",3,"CON","BTx642"
"353","Basidiomycota",0.0655970085679018,"Rhizosphere",3,"CON","BTx642"
"354","Basidiomycota",0.0792578383217849,"Root",3,"CON","BTx642"
"355","Basidiomycota",0.0926280046190074,"Soil",3,"CON","BTx642"
"356","Basidiomycota",0.432755866679459,"Leaf",4,"CON","BTx642"
"357","Basidiomycota",0.0503832947413393,"Rhizosphere",4,"CON","BTx642"
"358","Basidiomycota",0.0172641921445936,"Root",4,"CON","BTx642"
"359","Basidiomycota",0.115806617881206,"Soil",4,"CON","BTx642"
"360","Basidiomycota",0.140238945373246,"Leaf",5,"CON","BTx642"
"361","Basidiomycota",0.0652189442710343,"Rhizosphere",5,"CON","BTx642"
"362","Basidiomycota",0.00533325747038164,"Root",5,"CON","BTx642"
"363","Basidiomycota",0.0528459672030712,"Soil",5,"CON","BTx642"
"364","Basidiomycota",0.210307640564792,"Leaf",6,"CON","BTx642"
"365","Basidiomycota",0.0526350918363976,"Rhizosphere",6,"CON","BTx642"
"366","Basidiomycota",0.0148889866319277,"Root",6,"CON","BTx642"
"367","Basidiomycota",0.0478398106021045,"Soil",6,"CON","BTx642"
"368","Basidiomycota",0.433259877265211,"Leaf",7,"CON","BTx642"
"369","Basidiomycota",0.0316761658739877,"Rhizosphere",7,"CON","BTx642"
"370","Basidiomycota",0.0124811238909772,"Root",7,"CON","BTx642"
"371","Basidiomycota",0.100876091537121,"Soil",7,"CON","BTx642"
"372","Basidiomycota",0.344611793294975,"Leaf",8,"CON","BTx642"
"373","Basidiomycota",0.0399219560917585,"Rhizosphere",8,"CON","BTx642"
"374","Basidiomycota",0.023114662071077,"Root",8,"CON","BTx642"
"375","Basidiomycota",0.139658345600451,"Soil",8,"CON","BTx642"
"376","Basidiomycota",0.382970663247839,"Leaf",9,"CON","BTx642"
"377","Basidiomycota",0.108144754903069,"Rhizosphere",9,"CON","BTx642"
"378","Basidiomycota",0.0162278167970245,"Root",9,"CON","BTx642"
